lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-94.7,38.3,31,0,0,0.515462967,0.063868914,0.415653834,0.283295474,0.33758515,0.496392044,108128,96304
-94.7,38.8,24,0,0,0.408429968,-0.063974011,-0.127903276,0.214803008,0.160762739,0.673249219,107393,152212
-94.7,39.3,26,0,0,0.324082445,-0.057304537,-0.806477848,0.397994876,0.183500193,0.837998453,106658,208117
-94.7,39.8,26,0,0,0.180961451,-0.290883883,-0.47631311,0.528696663,0.378316315,0.955163457,105924,264014
-94.7,40.3,17,0,0,-0.030969823,-0.404648757,0.079555968,0.751285651,0.716145047,1.113766758,105189,319899
-94.7,40.8,8,0,0,-0.25062722,-0.515646085,0.382200941,0.877971519,0.953497292,1.336282579,104455,375768
-94.7,41.3,4,0,0,-0.33862102,-0.68243799,0.194219949,0.941228212,0.954023355,1.40698711,103721,431615
-94.7,41.8,9,0,0,-0.435941553,-0.758340588,-0.164706232,0.998689918,0.894327221,1.520829436,102987,487436
-94.7,42.3,2,0,0,-0.474490778,-0.848219728,-0.175909466,1.073342405,0.961486623,1.699976277,102253,543226
-94.7,42.8,2,0,0,-0.664741645,-0.95324588,0.012328043,1.169429941,1.093287657,1.67674482,101521,598980
-94.7,43.3,2,0,0,-0.824577019,-1.14178481,-0.086209452,1.288375782,1.199404948,1.654401717,100788,654692
-94.7,43.8,4,0,0,-0.860795388,-1.236251554,-0.095550594,1.427375725,1.385026211,1.850287303,100056,710358
-94.7,44.3,8,0,0,-0.813756505,-1.302742172,-0.014256841,1.531441944,1.472558699,1.755461407,99325,765972
-94.7,44.8,1,0,0,-0.890166281,-1.318244173,-0.089493894,1.666510582,1.537532977,1.617571153,98595,821528
-94.7,45.3,12,0,0,-1.078664237,-1.254620791,0.001381326,1.65808442,1.62475783,1.475116432,97866,877021
